Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta da Ouvidoria	RESPOSTAS COM ANEXO
001	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	13/06/2014	Usuário solicita relaçao atualizada, por ordem cronológica crescente, dos servidores que estão aguardando a designação de gratificação prevista no inciso III, do artigo 48 da Lei nº. 13.839/2009 e/ou prevista no inciso IV do artigo 48 da Lei nº 18.839/2009 respectivamente, atividade de tecnologia da informação, ATI/1, e atividade de tecnologia da informação, ATI/2.	11/07/2014	Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 	SIM                                                                                                                                                                                        Pedido de Informação nº 001/2014
002	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	03/07/2014	Usuário solicita informações acerca da vacância de cargos de técnicos e analistas judiciários do TJPE. 	21/07/2014	Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 	SIM                                                                                                                                                                                        Pedido de Informação nº 002/2014
003	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	11/07/2014	"Visando a elaboração do II Plano Estadual para Prevenir, Punir e Erradicar a Violência contra as Mulheres no estado de Pernambuco, vimos por meio deste Pedido de Acesso à Informação obter junto ao Tribunal de Justiça de Pernambuco o seguinte, com informações o mais detalhadas que for possível:

- Custo/gastos com instalação e manutenção das Varas Especializadas de Violência Doméstica e Familiar contra a Mulher e da Coordenadoria da Mulher do TJPE no período de 01/01/2007 a 31/12/2013.

Desde já agradecendo a atenção dispensada, e certa do atendimento do pleito em questão.

PS: Como não há espaço no site para o registro do CNPJ de pessoa jurídica, enviamos por aqui o da Secretaria da Mulher de Pernambuco, porquanto sabemos da necessidade do mesmo para efetuar um Pedido de Acesso à Informação, conforme preconiza a LAI (CNPJ SecMulher PE - 09601781/0001-44).


Secretaria da Mulher
Governo do Estado de Pernambuco
"	19/08/2014	Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 	SIM                                                                                                                                                                                        Pedido de Informação nº 003/2014
004	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	31/07/2014	"Em atendimento a Lei nº 12.527/2011, gostaria de saber sobre a quantidade de cargos pendentes de nomeação referente a Lei 14.684, de 31 de maio de 2012. Peço o favor de informar se as Vagas do cargo ANALISTA JUDICIÁRIO (Apoio Especializado) estão divididas em especialidade.
Favor informar se há a previsão para a nomeação da Especialidade Contador, e quantas vagas estão previstas.

"	06/08/2014	"Email encaminhado ao solicitante: Em atendimento à solicitação a  Secretária de Gestão de Pessoas  repassou  o relatório mais recente de todos os cargos efetivos criados, providos e vagos, fornecido pela Gerência de Seleção e Acolhimento/DDH, desta Secretaria.
Desse modo, como pode ser verificado no aludido relatório, não há cargo vago de Analista Judiciário - APJ/Contador. Por via de consequência, não há qualquer previsão para novas nomeações para a referida especialidade.
"	
005	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	08/08/2014	Gostaria de saber quantos cargos vagos de Analista Judiciário área Administrativa, porque no site do TJPE não há especificação dos cargos por área.	06/02/2014	Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 	SIM                     Pedido de Informação nº 005/2014
006	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/08/2014	Usuário solicita relaçao atualizadados servidores, comissionados e funcionários a disposição do TJPE lotados na Secretaria de Tecnologia da Informação e Comunicação, SETIC, deste Tribunal contendo os seguintes campos: nome completo, matricula, cargo, lotação e adicional de atividade de tecnologia de informação (art. 11 da Lei nº. 12.643/04) especificando pela sigla e valor.	19/08/2014	Os arquivos com as respostas foram devidamente encaminhados ao email do solicitante. 	SIM                     Pedido de Informação nº 006/2014
007	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	27/08/2014	"Olá,

faço parte de um projeto de pesquisa que visa levantar dados a respeito da remuneração dos servidores públicos, de modo a identificar as perspectivas remuneratórias na carreira pública. 
Como não encontrei ferramenta específica para isso, venho por meio dessa, com base na Lei 12.527 solicitar as seguintes informações:
Considerando o disposto no Anexo Único da Resolução nº 151 do Conselho Nacional de Justiça, solicito que este Tribunal envie uma tabela, em formato processável por máquina, seguindo o padrão da referida resolução do CNJ, detalhando de forma consolidada, em relação aos anos de 2012 e de 2013, os valores pagos a título de remuneração paradigma, vantagens pessoais, subsídios, indenizações e vantagens eventuais referentes a cada magistrado. 
Por meio da tabela deve ser possível visualizar o valor total anual de créditos que foi pago para cada magistrado deste Tribunal nos anos de 2012 e 2013.
 "	20/10/2014	De ordem do Des.  Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, informo a V.Sa. que no que se refere a divulgação da remuneração dos magistrados e servidores deste Poder, este Tribunal de Justiça do Estado de Pernambuco cumpre estritamente o que determina as resoluções números 102 e 151 do Conselho Nacional de Justiça. Tais dados podem ser acessados no seguinte link: www.tjpe.jus.br/consultasalario/xhtml/manterConsultaSalario/geralConsultaSalario.xhtml	
008	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	24/08/2014	"Venho através da Lei 12.527 solicitar o seguinte:
(a.1) Quais são todas as modalidades de indenizações, conforme a definição do artigo 3°,  inciso VI e anexo VIII da Resolução 102, alterada pela Resolução 151 CNJ, que os servidores e magistrados deste tribunal podem receber? Favor detalhar os critérios para o recebimento e o valor máximo que pode ser pago mensalmente a este título por magistrado. 
(a.2) Em relação a cada modalidade de indenização (e.g. Auxílio-alimentação, Auxílio-transporte, Auxílio Pré-escolar, Auxílio Saúde, Auxílio Natalidade, Auxílio Moradia, Ajuda de Custo, além de outras desta natureza, conforme respondido no item a.1), solicitamos que seja informado qual o montante que foi pago a cada magistrado (nominalmente identificado) em cada um dos meses de 2012 e 2013. 
(b.1) Quais são todas as modalidades de vantagens pessoais, conforme a definição da Resolução 151 do CNJ, que os servidores e magistrados deste tribunal podem receber? Favor detalhar os critérios para o recebimento e o valor máximo que pode ser pago mensalmente a este título por magistrado. 
(b.2) Em relação a cada modalidade de vantagens pessoais (e.g. V.P.N.I., Adicional por tempo de serviço, quintos, décimos e vantagens decorrentes de sentença judicial ou extensão administrativa, abono de permanência, além de qualquer outra desta natureza, conforme respondido no item b.2), solicitamos que seja informado qual o montante que foi pago a cada magistrado (nominalmente identificado) em cada um dos meses de 2012 e 2013 
(c.1) Quais são todas as modalidades de vantagens eventuais, conforme a definição da Resolução 151 do CNJ, que os servidores e magistrados deste tribunal podem receber? Favor detalhar os critérios para o recebimento e o valor máximo que pode ser pago mensalmente a este título por magistrado. 
(c.2) Em relação a cada modalidade de vantagens eventuais (e.g. Abono constitucional de 1/3 de férias, indenização de férias, antecipação de férias, gratificação natalina, antecipação de gratificação natalina, serviço extraordinário, substituição, pagamentos retroativos, além de outras desta natureza, conforme respondido no item c.1), ), solicitamos que seja informado qual o montante que foi pago a cada magistrado (nominalmente identificado) em cada um dos meses de 2012 e 2013
(d) Além das categorias mencionadas acima e estabelecidas na Resolução 151 do CNJ, existe algum outro rendimento ou verba que os magistrados deste Tribunal possam receber?
"	20/10/2014	De ordem do Des. Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, informo a V.Sa. que no que se refere a divulgação da remuneração dos magistrados e servidores deste Poder, este Tribunal de Justiça do Estado de Pernambuco cumpre estritamente o que determina as resoluções números 102 e 151 do Conselho Nacional de Justiça. Tais dados podem ser acessados no seguinte link: https://www.tjpe.jus.br/consultasalario/xhtml/manterConsultaSalario/geralConsultaSalario.xhtml	
009	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	29/08/2014	"Usuário, classificado no certame, destinado ao provimento de cargos vagos e à formação de cadastro reserva do Tribunal de Justiça de Pernambuco, o qual se regerá de acordo com o Edital N° 01/2011 respectivamente para os cargos de TA10 - TÉCNICO JUD - TPJ - JUDICIÁRIA E ADMINISTRATIVA - inscrição 073151b - classificação 118 e, ANALISTA JUD - APJ - JUDICIÁRIA E ADMINISTRATIVA - inscrição 077886c - classificação 223.

Venho, mui respeitosamente, solicitar-lhes o quantitativo de vagas existentes, no momento, e as vindouras, no que tange o Pólo 10 - Agreste Meridional - para os seguintes cargos: 

1. TA10 - TÉCNICO JUD - TPJ - JUDICIÁRIA E ADMINISTRATIVA;

2. AA10 - ANALISTA JUD - APJ - JUDICIÁRIA E ADMINISTRATIVA. 

   Tal solicitação se dá em apenas em detrimento das respectivas comarcas, integrantes do supracitado polo 10 - Agreste Meridional, sendo elas: 

 Águas Belas, Angelim,  Bom Conselho,  Brejão,  Buíque, Caetés,  Calçado,  Canhotinho,  Capoeiras,  Correntes,  Garanhuns,  Iati,  Itaíba,  Jupi,  Jurema,  Lagoa do Ouro, Lajedo,  Palmeirina,  Pedra,    Saloá,  São João,    Venturosa.
 
   Ocorre que fui aprovado/classificado  para os referidos cargos como bem pode ser visto nas listas de classificação. 

   Solicito também que seja informado qual o prazo do término de tal certame, bem como seja respeitada a Lei da Transparência que diz que tal solicitação deverá ser atendida em até 20 dias e prorrogável por no máximo 10 dias. 
"	29/08/2014	"Prezado(a) Senhor(a), 
 
Ref. Pedido de Informação nº 009/2014 - CPSIC/TJPE
 
Conforme informações prestadas, no corrente mês, pela Secretaria de Gestão de Pessoas deste TJPE, os cargos efetivos da Instituição são criados para todo o Estado, não especificando o Polo. Informa, ainda, que o concurso público está vigente até 21 de março do ano de 2016. Segue, em arquivo anexo, planilha demonstrativa fornecida pela supracitada Secretaria.
"	SIM                     Pedido de Informação nº 009/2014
010	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	01/09/2014	"Venho por meio deste solicitar através da Lei da Transparência  o quantitativo de cargos criados e vagos para ANALISTA JUD - APJ/ASS.SOCIAL 

"	02/09/2014	"Prezado(a) Senhor(a), 
 
Ref. PEDIDO DE INFORMAÇÃO Nº 010/2014 - CPSIC - TJPE
 
Segue, em arquivo anexo, planilha atualizada fornecida pela Secretaria de Gestão de Pessoas deste TJPE.
 
"	SIM                     Pedido de Informação nº 010/2014
